isoform	mean_tumor_iso_pct_brca	mean_normal_iso_pct_brca	mean_iso_pct_diff_brca	pval_brca	n_samps_brca	padj_brca	mean_tumor_iso_pct_luad	mean_normal_iso_pct_luad	mean_iso_pct_diff_luad	pval_luad	n_samps_luad	padj_luad	mean_tumor_iso_pct_hnscc	mean_normal_iso_pct_hnscc	mean_iso_pct_diff_hnscc	pval_hnscc	n_samps_hnscc	padj_hnscc
ZNF223-1	0.921905423993252	0.9241924122307597	-0.0015980770984280659	0.9193988979967952	102.0	0.9676418270541447	0.8821298212147811	0.9051400502990755	-0.012808801208122937	0.6560079509482488	82.0	0.7514409518307547						
ZNF223-2	0.0780945760067479	0.07580758776924039	0.0015980770984280637	0.9193988979967952	102.0	0.9676418270541447	0.1178701787852188	0.09485994970092437	0.012808801208122928	0.6560079509482488	82.0	0.7514409518307547						
ZNF23-1	0.15272431119030233	0.16913769030962836	-0.016413379119326024	0.29084244294378714	112.0	0.4732428517790484	0.130606363716963	0.14883923092806425	-0.018378282452240043	0.10424724611730211	103.0	0.19856618308057544	0.13652688268752294	0.1515572609851309	-0.014722464656601304	0.646509942416081	37.0	0.8145918694475773
ZNF23-2	0.14134614157874167	0.13738338296947442	0.0039627586092672714	0.6569135157268282	112.0	0.8070209621944427	0.20153828612795982	0.15103968414780786	0.050454125381216484	7.125647860467082e-07	103.0	7.271069245374573e-06	0.23821017233109124	0.188186054012608	0.053229065079516066	0.0011257036967435852	37.0	0.014528613336096896
ZNF23-3	0.15351596940109896	0.16211677280530876	-0.008600803404209793	0.4556047138576279	112.0	0.6410046263897178	0.16192220279402994	0.1826627791883523	-0.02099776850797788	0.08295585542433133	103.0	0.16657802294042437	0.1422322268158679	0.12771075674658122	0.01424980106590647	0.6600123620898699	37.0	0.8161230704883721
ZNF230-1	0.9627274973785528	0.9840428144580653	-0.017842165765395893	0.05475798171408573	89.0	0.13963954750071253	0.9045496574402542	0.9507904141414925	-0.01850698079074689	0.22102157481330342	40.0	0.35110768162476746						
ZNF230-2	0.037272502621447226	0.015957185541934704	0.017842165765395896	0.05475798171408573	89.0	0.13963954750071253	0.09545034255974578	0.049209585858507446	0.018506980790746894	0.22102157481330342	40.0	0.35110768162476746						
ZNF24-1	0.9637246289814959	0.960199027272785	0.0035256017087108146	0.0046468129369965465	112.0	0.017818477548850728	0.9502560935302437	0.9558987198674884	-0.005642626337244903	0.8566660453997846	105.0	0.9027039466804897	0.9606632389185543	0.9714095777008863	-0.010694536297030377	0.001381615853006224	42.0	0.016782569037987367
ZNF24-2	0.03627537101850408	0.039800972727214896	-0.0035256017087108094	0.0046468129369965465	112.0	0.017818477548850728	0.049743906469756426	0.04410128013251152	0.005642626337244909	0.8566660453997846	105.0	0.9027039466804897	0.039336761081445626	0.02859042229911373	0.010694536297030379	0.001381615853006224	42.0	0.016782569037987367
ZNF250-1	0.49001588275139935	0.4924695652677862	-0.002453682516386811	0.8594370798195111	112.0	0.9318013245860187	0.4890011460428247	0.42821898556409294	0.06131350272229101	2.3853995233085437e-05	104.0	0.0001639604500008529	0.5977638893897991	0.6054138403262314	-0.006280181615392526	0.6045658352995815	39.0	0.7839425117071496
