tcga_id_ctrl	tcga_id_tumor
TCGA-BH-A1F0-11B-23R-A137-07	TCGA-BH-A1F0-01A-11R-A137-07
TCGA-E9-A1NA-11A-33R-A144-07	TCGA-E9-A1NA-01A-11R-A144-07
TCGA-AC-A23H-11A-12R-A157-07	TCGA-AC-A23H-01A-11R-A157-07
TCGA-A7-A13F-11A-42R-A12P-07	TCGA-A7-A13F-01A-11R-A12P-07
TCGA-BH-A18L-11A-42R-A12D-07	TCGA-BH-A18L-01A-32R-A12D-07
TCGA-BH-A0DP-11A-12R-A089-07	TCGA-BH-A0DP-01A-21R-A056-07
TCGA-E2-A1BC-11A-32R-A12P-07	TCGA-E2-A1BC-01A-11R-A12P-07
TCGA-E9-A1N4-11A-33R-A14M-07	TCGA-E9-A1N4-01A-11R-A14M-07
TCGA-BH-A1ET-11B-23R-A137-07	TCGA-BH-A1ET-01A-11R-A137-07
TCGA-BH-A209-11A-42R-A157-07	TCGA-BH-A209-01A-11R-A157-07
TCGA-BH-A0DZ-11A-22R-A089-07	TCGA-BH-A0DZ-01A-11R-A00Z-07
TCGA-BH-A0BM-11A-12R-A089-07	TCGA-BH-A0BM-01A-11R-A056-07
TCGA-BH-A0HA-11A-31R-A12P-07	TCGA-BH-A0HA-01A-11R-A12P-07
TCGA-BH-A0HK-11A-11R-A089-07	TCGA-BH-A0HK-01A-11R-A056-07
TCGA-BH-A18V-11A-52R-A12D-07	TCGA-BH-A18V-01A-11R-A12D-07
TCGA-BH-A0BV-11A-31R-A089-07	TCGA-BH-A0BV-01A-11R-A00Z-07
TCGA-BH-A0DL-11A-13R-A115-07	TCGA-BH-A0DL-01A-11R-A115-07
TCGA-BH-A0BJ-11A-23R-A089-07	TCGA-BH-A0BJ-01A-11R-A056-07
TCGA-GI-A2C9-11A-22R-A21T-07	TCGA-GI-A2C9-01A-11R-A21T-07
TCGA-BH-A1FE-11B-14R-A13Q-07	TCGA-BH-A1FE-01A-11R-A13Q-07
TCGA-BH-A1EV-11A-24R-A137-07	TCGA-BH-A1EV-01A-11R-A137-07
TCGA-BH-A1EO-11A-31R-A137-07	TCGA-BH-A1EO-01A-11R-A137-07
TCGA-BH-A1F8-11B-21R-A13Q-07	TCGA-BH-A1F8-01A-11R-A13Q-07
TCGA-BH-A1FN-11A-34R-A13Q-07	TCGA-BH-A1FN-01A-11R-A13Q-07
TCGA-BH-A0B5-11A-23R-A12P-07	TCGA-BH-A0B5-01A-11R-A12P-07
TCGA-E9-A1RB-11A-33R-A157-07	TCGA-E9-A1RB-01A-11R-A157-07
TCGA-BH-A0DV-11A-22R-A12P-07	TCGA-BH-A0DV-01A-21R-A12P-07
TCGA-E9-A1RI-11A-41R-A169-07	TCGA-E9-A1RI-01A-11R-A169-07
TCGA-E9-A1N6-11A-32R-A144-07	TCGA-E9-A1N6-01A-11R-A144-07
TCGA-BH-A0E0-11A-13R-A089-07	TCGA-BH-A0E0-01A-11R-A056-07
TCGA-BH-A1FR-11B-42R-A13Q-07	TCGA-BH-A1FR-01A-11R-A13Q-07
TCGA-AC-A2FF-11A-13R-A17B-07	TCGA-AC-A2FF-01A-11R-A17B-07
TCGA-BH-A18J-11A-31R-A12D-07	TCGA-BH-A18J-01A-11R-A12D-07
TCGA-BH-A0DG-11A-43R-A12P-07	TCGA-BH-A0DG-01A-21R-A12P-07
TCGA-BH-A18R-11A-42R-A12D-07	TCGA-BH-A18R-01A-11R-A12D-07
TCGA-BH-A0DO-11A-22R-A12D-07	TCGA-BH-A0DO-01B-11R-A12D-07
TCGA-E2-A1LB-11A-22R-A144-07	TCGA-E2-A1LB-01A-11R-A144-07
TCGA-BH-A0H5-11A-62R-A115-07	TCGA-BH-A0H5-01A-21R-A115-07
TCGA-BH-A0BZ-11A-61R-A12P-07	TCGA-BH-A0BZ-01A-31R-A12P-07
TCGA-E9-A1RF-11A-32R-A157-07	TCGA-E9-A1RF-01A-11R-A157-07
TCGA-BH-A208-11A-51R-A157-07	TCGA-BH-A208-01A-11R-A157-07
TCGA-BH-A1EN-11A-23R-A13Q-07	TCGA-BH-A1EN-01A-11R-A13Q-07
TCGA-BH-A0BC-11A-22R-A089-07	TCGA-BH-A0BC-01A-22R-A084-07
TCGA-BH-A0BA-11A-22R-A19E-07	TCGA-BH-A0BA-01A-11R-A056-07
TCGA-E2-A158-11A-22R-A12D-07	TCGA-E2-A158-01A-11R-A12D-07
TCGA-E2-A15M-11A-22R-A12D-07	TCGA-E2-A15M-01A-11R-A12D-07
TCGA-BH-A1FD-11B-21R-A13Q-07	TCGA-BH-A1FD-01A-11R-A13Q-07
TCGA-BH-A203-11A-42R-A169-07	TCGA-BH-A203-01A-12R-A169-07
